,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 986.60 , $ 230.31 , $ 118.57 , $ 77.91 , $ 63.98 , $ 47.71 , $ 26.93 , $ 19.59 , $ 15.08 , $ 9.27 , $ 6.14 , $ 5.60 , $ 4.85 , $ 4.45 , $ 4.18 , $ 3.94 
A5, $ 544.15 , $ 136.98 , $ 72.68 , $ 47.74 , $ 40.93 , $ 29.63 , $ 17.86 , $ 13.51 , $ 10.52 , $ 7.29 , $ 5.32 , $ 4.85 , $ 4.38 , $ 4.07 , $ 3.85 , $ 3.64 
A6, $ 413.38 , $ 110.44 , $ 59.46 , $ 38.91 , $ 34.27 , $ 24.27 , $ 15.13 , $ 11.65 , $ 9.07 , $ 6.63 , $ 5.02 , $ 4.55 , $ 4.16 , $ 3.90 , $ 3.68 , $ 3.49 
A3, $ 785.62 , $ 208.88 , $ 108.04 , $ 68.94 , $ 58.88 , $ 44.67 , $ 26.26 , $ 18.97 , $ 14.98 , $ 10.44 , $ 7.28 , $ 6.42 , $ 5.75 , $ 5.34 , $ 5.04 , $ 4.77 
A2," $ 1,127.36 ", $ 297.84 , $ 155.94 , $ 101.79 , $ 87.86 , $ 66.17 , $ 40.15 , $ 30.10 , $ 24.02 , $ 17.30 , $ 12.61 , $ 11.41 , $ 10.36 , $ 9.67 , $ 9.14 , $ 8.66 
