,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 157.03 , $ 45.18 , $ 24.38 , $ 15.85 , $ 14.31 , $ 10.06 , $ 6.59 , $ 5.22 , $ 4.16 , $ 3.22 , $ 2.61 , $ 2.45 , $ 2.27 , $ 2.13 , $ 2.02 , $ 1.92 
A5, $ 113.47 , $ 34.32 , $ 19.31 , $ 12.63 , $ 11.70 , $ 8.08 , $ 5.56 , $ 4.49 , $ 3.59 , $ 2.88 , $ 2.39 , $ 2.24 , $ 2.09 , $ 1.97 , $ 1.87 , $ 1.78 
A6, $ 98.79 , $ 31.04 , $ 17.73 , $ 11.57 , $ 10.87 , $ 7.40 , $ 5.17 , $ 4.20 , $ 3.34 , $ 2.73 , $ 2.28 , $ 2.14 , $ 2.00 , $ 1.89 , $ 1.79 , $ 1.70 
A3, $ 169.30 , $ 57.86 , $ 30.86 , $ 19.32 , $ 17.81 , $ 13.58 , $ 9.00 , $ 6.82 , $ 5.63 , $ 4.60 , $ 3.54 , $ 3.16 , $ 2.95 , $ 2.78 , $ 2.63 , $ 2.50 
A2, $ 253.29 , $ 83.93 , $ 45.68 , $ 29.55 , $ 27.46 , $ 20.56 , $ 14.08 , $ 11.12 , $ 9.21 , $ 7.59 , $ 6.07 , $ 5.55 , $ 5.19 , $ 4.90 , $ 4.64 , $ 4.41 
