,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 275.59 , $ 74.06 , $ 39.43 , $ 25.57 , $ 22.48 , $ 15.94 , $ 10.00 , $ 7.71 , $ 6.05 , $ 4.44 , $ 3.48 , $ 3.25 , $ 2.98 , $ 2.79 , $ 2.64 , $ 2.50 
A5, $ 192.34 , $ 54.48 , $ 30.11 , $ 19.58 , $ 17.73 , $ 12.32 , $ 8.14 , $ 6.43 , $ 5.07 , $ 3.91 , $ 3.17 , $ 2.97 , $ 2.75 , $ 2.59 , $ 2.45 , $ 2.33 
A6, $ 149.78 , $ 45.60 , $ 25.72 , $ 16.65 , $ 15.49 , $ 10.51 , $ 7.18 , $ 5.76 , $ 4.52 , $ 3.62 , $ 3.00 , $ 2.82 , $ 2.63 , $ 2.48 , $ 2.35 , $ 2.23 
A3, $ 261.63 , $ 85.08 , $ 45.10 , $ 28.08 , $ 25.56 , $ 19.34 , $ 12.42 , $ 9.26 , $ 7.54 , $ 6.02 , $ 4.57 , $ 4.07 , $ 3.78 , $ 3.55 , $ 3.37 , $ 3.19 
A2, $ 387.03 , $ 122.35 , $ 66.13 , $ 42.51 , $ 39.03 , $ 29.04 , $ 19.34 , $ 15.04 , $ 12.32 , $ 9.95 , $ 7.88 , $ 7.20 , $ 6.71 , $ 6.32 , $ 5.99 , $ 5.69 
