,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 249.89 , $ 63.75 , $ 33.66 , $ 22.04 , $ 18.95 , $ 13.77 , $ 8.45 , $ 6.46 , $ 5.09 , $ 3.59 , $ 2.73 , $ 2.54 , $ 2.30 , $ 2.15 , $ 2.03 , $ 1.93 
A5, $ 169.18 , $ 45.47 , $ 24.88 , $ 16.34 , $ 14.49 , $ 10.31 , $ 6.67 , $ 5.23 , $ 4.15 , $ 3.11 , $ 2.46 , $ 2.30 , $ 2.11 , $ 1.98 , $ 1.88 , $ 1.78 
A6, $ 140.58 , $ 39.40 , $ 21.90 , $ 14.35 , $ 12.96 , $ 9.07 , $ 6.01 , $ 4.76 , $ 3.76 , $ 2.90 , $ 2.33 , $ 2.18 , $ 2.02 , $ 1.90 , $ 1.80 , $ 1.71 
A3, $ 259.84 , $ 75.97 , $ 39.91 , $ 25.36 , $ 22.34 , $ 17.20 , $ 10.81 , $ 8.03 , $ 6.54 , $ 4.97 , $ 3.66 , $ 3.25 , $ 2.98 , $ 2.79 , $ 2.64 , $ 2.51 
A2, $ 378.64 , $ 109.01 , $ 58.21 , $ 37.91 , $ 33.73 , $ 25.58 , $ 16.59 , $ 12.79 , $ 10.46 , $ 8.09 , $ 6.24 , $ 5.67 , $ 5.24 , $ 4.92 , $ 4.66 , $ 4.42 
