,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 150.87 , $ 63.16 , $ 35.00 , $ 22.19 , $ 22.19 , $ 14.28 , $ 10.21 , $ 8.44 , $ 6.72 , $ 5.92 , $ 5.02 , $ 4.76 , $ 4.51 , $ 4.28 , $ 4.06 , $ 3.86 
A5, $ 135.60 , $ 55.27 , $ 31.83 , $ 20.51 , $ 20.51 , $ 13.29 , $ 9.69 , $ 8.07 , $ 6.44 , $ 5.66 , $ 4.78 , $ 4.45 , $ 4.21 , $ 3.99 , $ 3.79 , $ 3.60 
A6, $ 134.79 , $ 54.72 , $ 31.60 , $ 20.34 , $ 20.34 , $ 13.13 , $ 9.55 , $ 7.94 , $ 6.29 , $ 5.51 , $ 4.64 , $ 4.27 , $ 4.05 , $ 3.84 , $ 3.65 , $ 3.47 
A3, $ 182.03 , $ 88.16 , $ 47.68 , $ 28.70 , $ 28.70 , $ 20.53 , $ 14.19 , $ 10.92 , $ 8.94 , $ 8.03 , $ 6.47 , $ 5.81 , $ 5.51 , $ 5.22 , $ 4.96 , $ 4.71 
A2, $ 291.65 , $ 130.70 , $ 72.37 , $ 46.08 , $ 46.08 , $ 32.74 , $ 23.44 , $ 18.95 , $ 15.66 , $ 13.95 , $ 11.50 , $ 10.58 , $ 10.02 , $ 9.50 , $ 9.03 , $ 8.57 
