,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 51.41 , $ 21.49 , $ 12.23 , $ 7.92 , $ 7.92 , $ 5.27 , $ 3.97 , $ 3.36 , $ 2.75 , $ 2.43 , $ 2.11 , $ 2.00 , $ 1.90 , $ 1.80 , $ 1.71 , $ 1.62 
A5, $ 46.28 , $ 18.71 , $ 11.14 , $ 7.31 , $ 7.31 , $ 4.86 , $ 3.71 , $ 3.15 , $ 2.58 , $ 2.26 , $ 1.96 , $ 1.85 , $ 1.75 , $ 1.66 , $ 1.58 , $ 1.50 
A6, $ 45.53 , $ 18.22 , $ 10.96 , $ 7.18 , $ 7.18 , $ 4.73 , $ 3.62 , $ 3.06 , $ 2.48 , $ 2.17 , $ 1.88 , $ 1.77 , $ 1.68 , $ 1.59 , $ 1.51 , $ 1.43 
A3, $ 62.90 , $ 32.23 , $ 17.73 , $ 10.93 , $ 10.93 , $ 8.30 , $ 6.09 , $ 4.80 , $ 4.08 , $ 3.66 , $ 2.95 , $ 2.65 , $ 2.51 , $ 2.38 , $ 2.26 , $ 2.15 
A2, $ 103.06 , $ 48.10 , $ 27.15 , $ 17.54 , $ 17.54 , $ 13.01 , $ 9.79 , $ 8.05 , $ 6.83 , $ 6.09 , $ 5.06 , $ 4.65 , $ 4.41 , $ 4.18 , $ 3.97 , $ 3.77 
