,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 139.14 , $ 57.85 , $ 32.21 , $ 20.37 , $ 20.37 , $ 13.08 , $ 9.42 , $ 7.79 , $ 6.20 , $ 5.46 , $ 4.68 , $ 4.43 , $ 4.20 , $ 3.98 , $ 3.78 , $ 3.59 
A5, $ 125.13 , $ 50.59 , $ 29.29 , $ 18.81 , $ 18.81 , $ 12.16 , $ 8.92 , $ 7.43 , $ 5.92 , $ 5.20 , $ 4.43 , $ 4.14 , $ 3.93 , $ 3.72 , $ 3.54 , $ 3.36 
A6, $ 124.31 , $ 50.04 , $ 29.07 , $ 18.64 , $ 18.64 , $ 12.00 , $ 8.79 , $ 7.30 , $ 5.77 , $ 5.06 , $ 4.30 , $ 3.99 , $ 3.78 , $ 3.58 , $ 3.40 , $ 3.23 
A3, $ 168.97 , $ 82.15 , $ 44.54 , $ 26.73 , $ 26.73 , $ 19.24 , $ 13.34 , $ 10.25 , $ 8.41 , $ 7.56 , $ 6.09 , $ 5.47 , $ 5.18 , $ 4.91 , $ 4.67 , $ 4.43 
A2, $ 270.61 , $ 121.25 , $ 67.38 , $ 42.72 , $ 42.72 , $ 30.44 , $ 21.88 , $ 17.66 , $ 14.61 , $ 13.02 , $ 10.77 , $ 9.90 , $ 9.39 , $ 8.90 , $ 8.45 , $ 8.03 
