,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 216.28 , $ 59.61 , $ 31.90 , $ 20.71 , $ 18.39 , $ 12.99 , $ 8.29 , $ 6.46 , $ 5.10 , $ 3.83 , $ 3.04 , $ 2.85 , $ 2.62 , $ 2.46 , $ 2.33 , $ 2.21 
A5, $ 162.16 , $ 46.25 , $ 25.63 , $ 16.72 , $ 15.17 , $ 10.57 , $ 7.03 , $ 5.58 , $ 4.42 , $ 3.44 , $ 2.79 , $ 2.61 , $ 2.43 , $ 2.28 , $ 2.16 , $ 2.05 
A6, $ 124.25 , $ 38.31 , $ 21.72 , $ 14.10 , $ 13.18 , $ 8.95 , $ 6.18 , $ 4.98 , $ 3.93 , $ 3.18 , $ 2.64 , $ 2.48 , $ 2.32 , $ 2.19 , $ 2.07 , $ 1.97 
A3, $ 215.43 , $ 71.46 , $ 37.97 , $ 23.69 , $ 21.68 , $ 16.46 , $ 10.71 , $ 8.04 , $ 6.59 , $ 5.31 , $ 4.05 , $ 3.62 , $ 3.36 , $ 3.16 , $ 3.00 , $ 2.85 
A2, $ 320.09 , $ 103.12 , $ 55.89 , $ 36.02 , $ 33.24 , $ 24.80 , $ 16.71 , $ 13.08 , $ 10.76 , $ 8.77 , $ 6.97 , $ 6.37 , $ 5.95 , $ 5.61 , $ 5.32 , $ 5.05 
