,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 127.45 , $ 52.56 , $ 29.44 , $ 18.55 , $ 18.55 , $ 11.89 , $ 8.63 , $ 7.14 , $ 5.69 , $ 5.01 , $ 4.33 , $ 4.11 , $ 3.89 , $ 3.69 , $ 3.51 , $ 3.33 
A5, $ 114.70 , $ 45.93 , $ 26.77 , $ 17.12 , $ 17.12 , $ 11.03 , $ 8.16 , $ 6.79 , $ 5.41 , $ 4.74 , $ 4.09 , $ 3.84 , $ 3.64 , $ 3.45 , $ 3.28 , $ 3.12 
A6, $ 113.89 , $ 45.38 , $ 26.54 , $ 16.95 , $ 16.95 , $ 10.87 , $ 8.02 , $ 6.66 , $ 5.26 , $ 4.60 , $ 3.96 , $ 3.70 , $ 3.51 , $ 3.32 , $ 3.16 , $ 3.00 
A3, $ 155.97 , $ 76.16 , $ 41.42 , $ 24.76 , $ 24.76 , $ 17.96 , $ 12.50 , $ 9.57 , $ 7.89 , $ 7.08 , $ 5.71 , $ 5.13 , $ 4.86 , $ 4.61 , $ 4.38 , $ 4.16 
A2, $ 249.67 , $ 111.84 , $ 62.41 , $ 39.38 , $ 39.38 , $ 28.16 , $ 20.34 , $ 16.38 , $ 13.57 , $ 12.09 , $ 10.05 , $ 9.24 , $ 8.75 , $ 8.30 , $ 7.88 , $ 7.49 
