,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 76.99 , $ 31.75 , $ 17.97 , $ 11.42 , $ 11.42 , $ 7.42 , $ 5.51 , $ 4.61 , $ 3.71 , $ 3.27 , $ 2.86 , $ 2.71 , $ 2.57 , $ 2.43 , $ 2.31 , $ 2.20 
A5, $ 69.31 , $ 27.68 , $ 16.35 , $ 10.53 , $ 10.53 , $ 6.86 , $ 5.17 , $ 4.34 , $ 3.49 , $ 3.06 , $ 2.67 , $ 2.52 , $ 2.39 , $ 2.26 , $ 2.15 , $ 2.04 
A6, $ 68.54 , $ 27.17 , $ 16.15 , $ 10.39 , $ 10.39 , $ 6.72 , $ 5.06 , $ 4.24 , $ 3.38 , $ 2.95 , $ 2.57 , $ 2.42 , $ 2.29 , $ 2.17 , $ 2.07 , $ 1.96 
A3, $ 94.71 , $ 47.31 , $ 25.90 , $ 15.65 , $ 15.65 , $ 11.63 , $ 8.29 , $ 6.43 , $ 5.38 , $ 4.83 , $ 3.89 , $ 3.50 , $ 3.31 , $ 3.14 , $ 2.98 , $ 2.83 
A2, $ 152.95 , $ 69.69 , $ 39.18 , $ 24.88 , $ 24.88 , $ 18.11 , $ 13.36 , $ 10.85 , $ 9.09 , $ 8.10 , $ 6.75 , $ 6.20 , $ 5.88 , $ 5.57 , $ 5.29 , $ 5.03 
