,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 672.98 , $ 158.73 , $ 82.39 , $ 53.89 , $ 44.61 , $ 32.99 , $ 18.99 , $ 13.93 , $ 10.75 , $ 6.78 , $ 4.74 , $ 4.34 , $ 3.81 , $ 3.51 , $ 3.30 , $ 3.12 
A5, $ 401.45 , $ 100.72 , $ 53.97 , $ 35.25 , $ 30.30 , $ 21.79 , $ 13.34 , $ 10.12 , $ 7.87 , $ 5.48 , $ 4.15 , $ 3.84 , $ 3.48 , $ 3.24 , $ 3.07 , $ 2.90 
A6, $ 298.53 , $ 79.75 , $ 43.53 , $ 28.27 , $ 25.02 , $ 17.55 , $ 11.17 , $ 8.63 , $ 6.70 , $ 4.93 , $ 3.88 , $ 3.61 , $ 3.32 , $ 3.11 , $ 2.94 , $ 2.79 
A3, $ 565.53 , $ 154.69 , $ 80.55 , $ 50.98 , $ 43.94 , $ 33.59 , $ 20.11 , $ 14.54 , $ 11.59 , $ 8.31 , $ 5.90 , $ 5.21 , $ 4.71 , $ 4.39 , $ 4.14 , $ 3.93 
A2, $ 813.83 , $ 219.49 , $ 115.97 , $ 75.06 , $ 65.31 , $ 49.29 , $ 30.50 , $ 22.91 , $ 18.39 , $ 13.51 , $ 10.11 , $ 9.16 , $ 8.36 , $ 7.82 , $ 7.40 , $ 7.01 
