,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 777.47 , $ 182.56 , $ 94.44 , $ 61.89 , $ 51.05 , $ 37.89 , $ 21.63 , $ 15.81 , $ 12.19 , $ 7.61 , $ 5.20 , $ 4.76 , $ 4.15 , $ 3.82 , $ 3.59 , $ 3.40 
A5, $ 448.97 , $ 112.78 , $ 60.19 , $ 39.40 , $ 33.83 , $ 24.40 , $ 14.84 , $ 11.25 , $ 8.75 , $ 6.08 , $ 4.54 , $ 4.18 , $ 3.78 , $ 3.52 , $ 3.32 , $ 3.15 
A6, $ 336.76 , $ 89.96 , $ 48.83 , $ 31.81 , $ 28.10 , $ 19.78 , $ 12.48 , $ 9.63 , $ 7.49 , $ 5.49 , $ 4.25 , $ 3.92 , $ 3.60 , $ 3.37 , $ 3.19 , $ 3.02 
A3, $ 638.84 , $ 172.73 , $ 89.70 , $ 56.95 , $ 48.91 , $ 37.28 , $ 22.15 , $ 16.01 , $ 12.72 , $ 9.02 , $ 6.36 , $ 5.61 , $ 5.05 , $ 4.70 , $ 4.44 , $ 4.21 
A2, $ 918.24 , $ 245.56 , $ 129.27 , $ 83.95 , $ 72.81 , $ 54.90 , $ 33.71 , $ 25.29 , $ 20.26 , $ 14.77 , $ 10.94 , $ 9.91 , $ 9.02 , $ 8.43 , $ 7.97 , $ 7.56 
