,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 568.74 , $ 146.73 , $ 76.79 , $ 50.05 , $ 43.09 , $ 30.99 , $ 18.57 , $ 14.02 , $ 10.90 , $ 7.60 , $ 5.58 , $ 5.18 , $ 4.68 , $ 4.36 , $ 4.12 , $ 3.90 
A5, $ 339.88 , $ 96.12 , $ 52.26 , $ 34.12 , $ 30.72 , $ 21.46 , $ 13.77 , $ 10.79 , $ 8.48 , $ 6.47 , $ 5.05 , $ 4.65 , $ 4.29 , $ 4.03 , $ 3.82 , $ 3.62 
A6, $ 274.08 , $ 82.58 , $ 45.53 , $ 29.62 , $ 27.30 , $ 18.70 , $ 12.34 , $ 9.79 , $ 7.68 , $ 6.07 , $ 4.83 , $ 4.41 , $ 4.11 , $ 3.87 , $ 3.67 , $ 3.48 
A3, $ 483.82 , $ 148.52 , $ 77.86 , $ 48.82 , $ 43.79 , $ 32.60 , $ 20.22 , $ 14.95 , $ 11.96 , $ 9.24 , $ 6.88 , $ 6.12 , $ 5.63 , $ 5.28 , $ 5.00 , $ 4.74 
A2, $ 709.50 , $ 214.27 , $ 114.16 , $ 73.94 , $ 66.97 , $ 49.45 , $ 31.80 , $ 24.53 , $ 19.84 , $ 15.63 , $ 12.06 , $ 10.99 , $ 10.19 , $ 9.58 , $ 9.08 , $ 8.62 
