,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 97.84 , $ 30.78 , $ 16.87 , $ 11.01 , $ 10.24 , $ 7.12 , $ 4.90 , $ 3.98 , $ 3.22 , $ 2.61 , $ 2.17 , $ 2.05 , $ 1.92 , $ 1.81 , $ 1.71 , $ 1.63 
A5, $ 83.42 , $ 26.14 , $ 14.85 , $ 9.78 , $ 9.16 , $ 6.34 , $ 4.46 , $ 3.65 , $ 2.95 , $ 2.41 , $ 2.01 , $ 1.89 , $ 1.77 , $ 1.67 , $ 1.58 , $ 1.50 
A6, $ 73.39 , $ 23.79 , $ 13.74 , $ 9.04 , $ 8.57 , $ 5.85 , $ 4.17 , $ 3.43 , $ 2.76 , $ 2.28 , $ 1.92 , $ 1.80 , $ 1.69 , $ 1.59 , $ 1.51 , $ 1.44 
A3, $ 123.25 , $ 44.30 , $ 23.77 , $ 14.96 , $ 13.95 , $ 10.72 , $ 7.29 , $ 5.61 , $ 4.68 , $ 3.90 , $ 3.03 , $ 2.71 , $ 2.53 , $ 2.39 , $ 2.27 , $ 2.15 
A2, $ 186.63 , $ 64.81 , $ 35.50 , $ 23.11 , $ 21.72 , $ 16.35 , $ 11.46 , $ 9.17 , $ 7.67 , $ 6.42 , $ 5.17 , $ 4.74 , $ 4.44 , $ 4.19 , $ 3.98 , $ 3.78 
