,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 85.15 , $ 25.68 , $ 14.02 , $ 9.27 , $ 8.50 , $ 6.06 , $ 4.14 , $ 3.37 , $ 2.75 , $ 2.20 , $ 1.81 , $ 1.70 , $ 1.59 , $ 1.50 , $ 1.42 , $ 1.35 
A5, $ 72.00 , $ 21.69 , $ 12.28 , $ 8.19 , $ 7.57 , $ 5.35 , $ 3.74 , $ 3.06 , $ 2.50 , $ 2.02 , $ 1.66 , $ 1.56 , $ 1.46 , $ 1.38 , $ 1.30 , $ 1.24 
A6, $ 61.99 , $ 19.36 , $ 11.18 , $ 7.45 , $ 6.99 , $ 4.87 , $ 3.47 , $ 2.86 , $ 2.32 , $ 1.90 , $ 1.58 , $ 1.48 , $ 1.39 , $ 1.31 , $ 1.24 , $ 1.18 
A3, $ 107.47 , $ 36.82 , $ 19.72 , $ 12.62 , $ 11.62 , $ 9.07 , $ 6.20 , $ 4.80 , $ 4.04 , $ 3.32 , $ 2.57 , $ 2.29 , $ 2.14 , $ 2.02 , $ 1.91 , $ 1.81 
A2, $ 161.90 , $ 54.11 , $ 29.54 , $ 19.47 , $ 18.08 , $ 13.82 , $ 9.70 , $ 7.79 , $ 6.55 , $ 5.43 , $ 4.34 , $ 3.97 , $ 3.72 , $ 3.51 , $ 3.33 , $ 3.16 
