,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 61.94 , $ 21.04 , $ 11.70 , $ 7.73 , $ 7.34 , $ 5.13 , $ 3.67 , $ 3.06 , $ 2.52 , $ 2.11 , $ 1.78 , $ 1.68 , $ 1.58 , $ 1.49 , $ 1.41 , $ 1.34 
A5, $ 53.43 , $ 17.98 , $ 10.42 , $ 6.95 , $ 6.64 , $ 4.61 , $ 3.37 , $ 2.82 , $ 2.31 , $ 1.94 , $ 1.64 , $ 1.54 , $ 1.45 , $ 1.37 , $ 1.30 , $ 1.24 
A6, $ 48.06 , $ 16.57 , $ 9.78 , $ 6.52 , $ 6.29 , $ 4.31 , $ 3.19 , $ 2.67 , $ 2.18 , $ 1.85 , $ 1.56 , $ 1.47 , $ 1.38 , $ 1.31 , $ 1.24 , $ 1.18 
A3, $ 77.29 , $ 30.78 , $ 16.70 , $ 10.61 , $ 10.11 , $ 7.86 , $ 5.60 , $ 4.40 , $ 3.74 , $ 3.20 , $ 2.53 , $ 2.26 , $ 2.13 , $ 2.01 , $ 1.91 , $ 1.81 
A2, $ 120.12 , $ 45.75 , $ 25.36 , $ 16.69 , $ 15.99 , $ 12.15 , $ 8.86 , $ 7.23 , $ 6.13 , $ 5.26 , $ 4.29 , $ 3.93 , $ 3.70 , $ 3.50 , $ 3.32 , $ 3.15 
