,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 89.87 , $ 36.91 , $ 20.86 , $ 13.19 , $ 13.19 , $ 8.51 , $ 6.28 , $ 5.23 , $ 4.20 , $ 3.70 , $ 3.23 , $ 3.07 , $ 2.91 , $ 2.75 , $ 2.62 , $ 2.49 
A5, $ 80.91 , $ 32.19 , $ 18.97 , $ 12.16 , $ 12.16 , $ 7.87 , $ 5.91 , $ 4.94 , $ 3.96 , $ 3.47 , $ 3.02 , $ 2.86 , $ 2.71 , $ 2.57 , $ 2.44 , $ 2.32 
A6, $ 80.13 , $ 31.67 , $ 18.76 , $ 12.00 , $ 12.00 , $ 7.72 , $ 5.79 , $ 4.83 , $ 3.83 , $ 3.35 , $ 2.91 , $ 2.75 , $ 2.60 , $ 2.47 , $ 2.34 , $ 2.23 
A3, $ 110.73 , $ 54.90 , $ 30.01 , $ 18.02 , $ 18.02 , $ 13.30 , $ 9.41 , $ 7.25 , $ 6.04 , $ 5.42 , $ 4.37 , $ 3.92 , $ 3.72 , $ 3.52 , $ 3.35 , $ 3.18 
A2, $ 178.10 , $ 80.56 , $ 45.24 , $ 28.58 , $ 28.58 , $ 20.69 , $ 15.16 , $ 12.25 , $ 10.23 , $ 9.12 , $ 7.60 , $ 6.99 , $ 6.62 , $ 6.28 , $ 5.96 , $ 5.66 
