,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 38.72 , $ 16.40 , $ 9.38 , $ 6.18 , $ 6.18 , $ 4.20 , $ 3.21 , $ 2.75 , $ 2.28 , $ 2.01 , $ 1.75 , $ 1.65 , $ 1.57 , $ 1.49 , $ 1.41 , $ 1.34 
A5, $ 34.86 , $ 14.26 , $ 8.56 , $ 5.71 , $ 5.71 , $ 3.87 , $ 3.00 , $ 2.57 , $ 2.13 , $ 1.87 , $ 1.62 , $ 1.52 , $ 1.44 , $ 1.37 , $ 1.30 , $ 1.23 
A6, $ 34.13 , $ 13.79 , $ 8.39 , $ 5.59 , $ 5.59 , $ 3.76 , $ 2.91 , $ 2.48 , $ 2.04 , $ 1.79 , $ 1.55 , $ 1.45 , $ 1.38 , $ 1.30 , $ 1.24 , $ 1.18 
A3, $ 47.11 , $ 24.75 , $ 13.68 , $ 8.60 , $ 8.60 , $ 6.66 , $ 4.99 , $ 4.00 , $ 3.43 , $ 3.08 , $ 2.49 , $ 2.23 , $ 2.11 , $ 2.00 , $ 1.90 , $ 1.81 
A2, $ 78.33 , $ 37.40 , $ 21.18 , $ 13.90 , $ 13.90 , $ 10.48 , $ 8.03 , $ 6.68 , $ 5.72 , $ 5.10 , $ 4.23 , $ 3.89 , $ 3.68 , $ 3.49 , $ 3.32 , $ 3.15 
