,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 64.17 , $ 26.61 , $ 15.09 , $ 9.66 , $ 9.66 , $ 6.34 , $ 4.73 , $ 3.98 , $ 3.23 , $ 2.85 , $ 2.48 , $ 2.35 , $ 2.23 , $ 2.11 , $ 2.01 , $ 1.91 
A5, $ 57.76 , $ 23.18 , $ 13.74 , $ 8.91 , $ 8.91 , $ 5.85 , $ 4.44 , $ 3.75 , $ 3.03 , $ 2.66 , $ 2.31 , $ 2.18 , $ 2.07 , $ 1.96 , $ 1.86 , $ 1.77 
A6, $ 57.00 , $ 22.68 , $ 13.55 , $ 8.78 , $ 8.78 , $ 5.73 , $ 4.34 , $ 3.65 , $ 2.93 , $ 2.56 , $ 2.22 , $ 2.09 , $ 1.98 , $ 1.88 , $ 1.79 , $ 1.70 
A3, $ 78.76 , $ 39.75 , $ 21.80 , $ 13.28 , $ 13.28 , $ 9.96 , $ 7.19 , $ 5.61 , $ 4.73 , $ 4.24 , $ 3.42 , $ 3.07 , $ 2.91 , $ 2.76 , $ 2.62 , $ 2.49 
A2, $ 127.93 , $ 58.86 , $ 33.14 , $ 21.20 , $ 21.20 , $ 15.55 , $ 11.57 , $ 9.44 , $ 7.96 , $ 7.09 , $ 5.90 , $ 5.42 , $ 5.14 , $ 4.87 , $ 4.63 , $ 4.40 
