,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 102.81 , $ 42.09 , $ 23.75 , $ 14.96 , $ 14.96 , $ 9.60 , $ 7.06 , $ 5.86 , $ 4.68 , $ 4.12 , $ 3.61 , $ 3.42 , $ 3.24 , $ 3.07 , $ 2.92 , $ 2.77 
A5, $ 92.59 , $ 36.73 , $ 21.60 , $ 13.79 , $ 13.79 , $ 8.88 , $ 6.65 , $ 5.55 , $ 4.42 , $ 3.88 , $ 3.39 , $ 3.20 , $ 3.03 , $ 2.87 , $ 2.73 , $ 2.59 
A6, $ 91.79 , $ 36.20 , $ 21.39 , $ 13.63 , $ 13.63 , $ 8.73 , $ 6.52 , $ 5.43 , $ 4.29 , $ 3.75 , $ 3.26 , $ 3.08 , $ 2.92 , $ 2.77 , $ 2.63 , $ 2.50 
A3, $ 126.84 , $ 62.53 , $ 34.15 , $ 20.41 , $ 20.41 , $ 14.99 , $ 10.53 , $ 8.08 , $ 6.70 , $ 6.02 , $ 4.85 , $ 4.36 , $ 4.13 , $ 3.91 , $ 3.72 , $ 3.53 
A2, $ 203.40 , $ 91.50 , $ 51.34 , $ 32.31 , $ 32.31 , $ 23.28 , $ 16.98 , $ 13.67 , $ 11.38 , $ 10.14 , $ 8.46 , $ 7.78 , $ 7.37 , $ 6.99 , $ 6.64 , $ 6.30 
