,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 144.27 , $ 40.06 , $ 21.51 , $ 14.11 , $ 12.56 , $ 8.98 , $ 5.83 , $ 4.60 , $ 3.68 , $ 2.80 , $ 2.24 , $ 2.10 , $ 1.93 , $ 1.82 , $ 1.72 , $ 1.63 
A5, $ 120.56 , $ 33.57 , $ 18.57 , $ 12.26 , $ 11.02 , $ 7.83 , $ 5.20 , $ 4.14 , $ 3.32 , $ 2.56 , $ 2.06 , $ 1.92 , $ 1.78 , $ 1.68 , $ 1.59 , $ 1.51 
A6, $ 101.25 , $ 29.36 , $ 16.53 , $ 10.89 , $ 9.96 , $ 6.96 , $ 4.73 , $ 3.80 , $ 3.04 , $ 2.39 , $ 1.95 , $ 1.82 , $ 1.70 , $ 1.60 , $ 1.52 , $ 1.44 
A3, $ 183.61 , $ 56.38 , $ 29.80 , $ 18.98 , $ 16.97 , $ 13.13 , $ 8.50 , $ 6.41 , $ 5.28 , $ 4.14 , $ 3.11 , $ 2.77 , $ 2.56 , $ 2.40 , $ 2.28 , $ 2.16 
A2, $ 270.20 , $ 81.53 , $ 43.86 , $ 28.68 , $ 25.89 , $ 19.69 , $ 13.14 , $ 10.28 , $ 8.50 , $ 6.76 , $ 5.29 , $ 4.82 , $ 4.48 , $ 4.21 , $ 3.99 , $ 3.79 
