,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 882.01 , $ 206.42 , $ 106.50 , $ 69.89 , $ 57.51 , $ 42.79 , $ 24.28 , $ 17.70 , $ 13.63 , $ 8.44 , $ 5.67 , $ 5.18 , $ 4.50 , $ 4.13 , $ 3.88 , $ 3.67 
A5, $ 496.54 , $ 124.87 , $ 66.43 , $ 43.57 , $ 37.38 , $ 27.01 , $ 16.35 , $ 12.38 , $ 9.63 , $ 6.68 , $ 4.93 , $ 4.51 , $ 4.07 , $ 3.80 , $ 3.58 , $ 3.40 
A6, $ 375.04 , $ 100.19 , $ 54.14 , $ 35.35 , $ 31.18 , $ 22.03 , $ 13.80 , $ 10.64 , $ 8.28 , $ 6.06 , $ 4.63 , $ 4.24 , $ 3.88 , $ 3.63 , $ 3.43 , $ 3.26 
A3, $ 712.20 , $ 190.79 , $ 98.87 , $ 62.94 , $ 53.89 , $ 40.97 , $ 24.20 , $ 17.49 , $ 13.85 , $ 9.73 , $ 6.82 , $ 6.01 , $ 5.40 , $ 5.02 , $ 4.74 , $ 4.49 
A2," $ 1,022.74 ", $ 271.67 , $ 142.59 , $ 92.86 , $ 80.33 , $ 60.53 , $ 36.93 , $ 27.69 , $ 22.14 , $ 16.03 , $ 11.77 , $ 10.66 , $ 9.69 , $ 9.05 , $ 8.55 , $ 8.10 
