,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 448.42 , $ 106.04 , $ 55.11 , $ 36.18 , $ 29.99 , $ 22.28 , $ 12.93 , $ 9.56 , $ 7.43 , $ 4.76 , $ 3.35 , $ 3.08 , $ 2.71 , $ 2.51 , $ 2.36 , $ 2.23 
A5, $ 292.15 , $ 72.25 , $ 38.63 , $ 25.39 , $ 21.67 , $ 15.77 , $ 9.63 , $ 7.32 , $ 5.72 , $ 3.96 , $ 2.97 , $ 2.74 , $ 2.48 , $ 2.31 , $ 2.18 , $ 2.07 
A6, $ 207.83 , $ 55.03 , $ 30.08 , $ 19.68 , $ 17.35 , $ 12.30 , $ 7.85 , $ 6.09 , $ 4.77 , $ 3.51 , $ 2.75 , $ 2.56 , $ 2.35 , $ 2.20 , $ 2.08 , $ 1.98 
A3, $ 396.51 , $ 107.67 , $ 56.08 , $ 35.77 , $ 30.74 , $ 23.70 , $ 14.33 , $ 10.45 , $ 8.40 , $ 6.04 , $ 4.30 , $ 3.80 , $ 3.43 , $ 3.20 , $ 3.02 , $ 2.86 
A2, $ 570.80 , $ 153.26 , $ 80.96 , $ 52.74 , $ 45.77 , $ 34.83 , $ 21.72 , $ 16.42 , $ 13.27 , $ 9.77 , $ 7.31 , $ 6.62 , $ 6.05 , $ 5.66 , $ 5.35 , $ 5.07 
