,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 974.87 , $ 225.00 , $ 115.79 , $ 76.08 , $ 62.16 , $ 46.51 , $ 26.13 , $ 18.93 , $ 14.56 , $ 8.81 , $ 5.79 , $ 5.27 , $ 4.54 , $ 4.15 , $ 3.90 , $ 3.68 
A5, $ 533.68 , $ 132.30 , $ 70.15 , $ 46.04 , $ 39.23 , $ 28.50 , $ 17.09 , $ 12.87 , $ 10.01 , $ 6.83 , $ 4.98 , $ 4.55 , $ 4.09 , $ 3.80 , $ 3.59 , $ 3.40 
A6, $ 402.90 , $ 105.76 , $ 56.92 , $ 37.21 , $ 32.57 , $ 23.14 , $ 14.36 , $ 11.01 , $ 8.56 , $ 6.17 , $ 4.67 , $ 4.26 , $ 3.89 , $ 3.64 , $ 3.44 , $ 3.26 
A3, $ 772.56 , $ 202.87 , $ 104.90 , $ 66.96 , $ 56.90 , $ 43.38 , $ 25.41 , $ 18.29 , $ 14.45 , $ 9.97 , $ 6.90 , $ 6.07 , $ 5.43 , $ 5.03 , $ 4.75 , $ 4.49 
A2," $ 1,106.31 ", $ 288.39 , $ 150.95 , $ 98.43 , $ 84.50 , $ 63.87 , $ 38.60 , $ 28.80 , $ 22.97 , $ 16.36 , $ 11.88 , $ 10.74 , $ 9.72 , $ 9.06 , $ 8.56 , $ 8.11 
