,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 131.58 , $ 34.97 , $ 18.66 , $ 12.37 , $ 10.82 , $ 7.91 , $ 5.07 , $ 3.99 , $ 3.21 , $ 2.38 , $ 1.87 , $ 1.75 , $ 1.60 , $ 1.50 , $ 1.42 , $ 1.35 
A5, $ 109.15 , $ 29.12 , $ 15.99 , $ 10.66 , $ 9.42 , $ 6.84 , $ 4.48 , $ 3.56 , $ 2.87 , $ 2.17 , $ 1.71 , $ 1.60 , $ 1.47 , $ 1.38 , $ 1.31 , $ 1.24 
A6, $ 89.85 , $ 24.93 , $ 13.96 , $ 9.31 , $ 8.38 , $ 5.98 , $ 4.02 , $ 3.23 , $ 2.60 , $ 2.01 , $ 1.62 , $ 1.51 , $ 1.40 , $ 1.32 , $ 1.25 , $ 1.18 
A3, $ 167.83 , $ 48.89 , $ 25.75 , $ 16.65 , $ 14.64 , $ 11.48 , $ 7.41 , $ 5.61 , $ 4.64 , $ 3.57 , $ 2.65 , $ 2.35 , $ 2.16 , $ 2.03 , $ 1.92 , $ 1.82 
A2, $ 245.47 , $ 70.82 , $ 37.90 , $ 25.04 , $ 22.26 , $ 17.17 , $ 11.37 , $ 8.90 , $ 7.39 , $ 5.76 , $ 4.45 , $ 4.05 , $ 3.75 , $ 3.52 , $ 3.34 , $ 3.17 
