,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 659.97 , $ 153.52 , $ 79.47 , $ 52.10 , $ 42.82 , $ 31.89 , $ 18.20 , $ 13.29 , $ 10.25 , $ 6.35 , $ 4.35 , $ 3.98 , $ 3.47 , $ 3.18 , $ 2.99 , $ 2.83 
A5, $ 389.71 , $ 96.15 , $ 51.32 , $ 33.60 , $ 28.65 , $ 20.77 , $ 12.59 , $ 9.51 , $ 7.40 , $ 5.07 , $ 3.78 , $ 3.50 , $ 3.15 , $ 2.93 , $ 2.77 , $ 2.62 
A6, $ 286.80 , $ 75.20 , $ 40.89 , $ 26.64 , $ 23.38 , $ 16.53 , $ 10.42 , $ 8.03 , $ 6.24 , $ 4.53 , $ 3.52 , $ 3.27 , $ 3.00 , $ 2.81 , $ 2.65 , $ 2.52 
A3, $ 549.35 , $ 147.03 , $ 76.40 , $ 48.58 , $ 41.54 , $ 31.89 , $ 18.98 , $ 13.71 , $ 10.93 , $ 7.71 , $ 5.41 , $ 4.78 , $ 4.30 , $ 4.00 , $ 3.77 , $ 3.57 
A2, $ 788.39 , $ 208.49 , $ 109.84 , $ 71.31 , $ 61.56 , $ 46.68 , $ 28.68 , $ 21.47 , $ 17.23 , $ 12.48 , $ 9.24 , $ 8.36 , $ 7.61 , $ 7.10 , $ 6.71 , $ 6.36 
