,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 554.17 , $ 129.77 , $ 67.29 , $ 44.14 , $ 36.40 , $ 27.08 , $ 15.57 , $ 11.42 , $ 8.84 , $ 5.55 , $ 3.85 , $ 3.53 , $ 3.09 , $ 2.85 , $ 2.68 , $ 2.53 
A5, $ 340.90 , $ 84.19 , $ 44.97 , $ 29.49 , $ 25.16 , $ 18.27 , $ 11.11 , $ 8.41 , $ 6.56 , $ 4.51 , $ 3.37 , $ 3.12 , $ 2.81 , $ 2.62 , $ 2.47 , $ 2.34 
A6, $ 247.28 , $ 65.10 , $ 35.47 , $ 23.15 , $ 20.36 , $ 14.41 , $ 9.13 , $ 7.06 , $ 5.50 , $ 4.01 , $ 3.13 , $ 2.91 , $ 2.67 , $ 2.50 , $ 2.37 , $ 2.24 
A3, $ 472.88 , $ 127.33 , $ 66.22 , $ 42.16 , $ 36.13 , $ 27.79 , $ 16.65 , $ 12.08 , $ 9.66 , $ 6.87 , $ 4.85 , $ 4.28 , $ 3.86 , $ 3.60 , $ 3.40 , $ 3.22 
A2, $ 679.52 , $ 180.84 , $ 95.38 , $ 62.01 , $ 53.65 , $ 40.74 , $ 25.19 , $ 18.94 , $ 15.25 , $ 11.12 , $ 8.27 , $ 7.49 , $ 6.82 , $ 6.38 , $ 6.03 , $ 5.71 
