,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 342.75 , $ 82.33 , $ 42.95 , $ 28.24 , $ 23.59 , $ 17.49 , $ 10.31 , $ 7.70 , $ 6.02 , $ 3.96 , $ 2.85 , $ 2.63 , $ 2.34 , $ 2.17 , $ 2.05 , $ 1.94 
A5, $ 243.46 , $ 60.32 , $ 32.31 , $ 21.29 , $ 18.20 , $ 13.28 , $ 8.16 , $ 6.22 , $ 4.89 , $ 3.40 , $ 2.56 , $ 2.37 , $ 2.14 , $ 2.00 , $ 1.89 , $ 1.79 
A6, $ 168.44 , $ 44.97 , $ 24.69 , $ 16.21 , $ 14.35 , $ 10.18 , $ 6.57 , $ 5.13 , $ 4.04 , $ 3.01 , $ 2.37 , $ 2.20 , $ 2.03 , $ 1.90 , $ 1.80 , $ 1.71 
A3, $ 320.20 , $ 88.04 , $ 45.95 , $ 29.38 , $ 25.36 , $ 19.62 , $ 12.01 , $ 8.83 , $ 7.14 , $ 5.21 , $ 3.74 , $ 3.31 , $ 3.01 , $ 2.81 , $ 2.65 , $ 2.51 
A2, $ 462.21 , $ 125.72 , $ 66.57 , $ 43.48 , $ 37.91 , $ 28.92 , $ 18.26 , $ 13.90 , $ 11.30 , $ 8.43 , $ 6.35 , $ 5.76 , $ 5.27 , $ 4.94 , $ 4.67 , $ 4.43 
