,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 765.84 , $ 177.30 , $ 91.67 , $ 60.08 , $ 49.25 , $ 36.70 , $ 20.85 , $ 15.17 , $ 11.68 , $ 7.16 , $ 4.86 , $ 4.44 , $ 3.85 , $ 3.53 , $ 3.32 , $ 3.13 
A5, $ 438.59 , $ 108.14 , $ 57.68 , $ 37.72 , $ 32.15 , $ 23.28 , $ 14.08 , $ 10.62 , $ 8.24 , $ 5.63 , $ 4.20 , $ 3.88 , $ 3.49 , $ 3.25 , $ 3.07 , $ 2.91 
A6, $ 326.39 , $ 85.32 , $ 46.32 , $ 30.13 , $ 26.42 , $ 18.66 , $ 11.72 , $ 9.00 , $ 6.98 , $ 5.04 , $ 3.92 , $ 3.64 , $ 3.33 , $ 3.11 , $ 2.94 , $ 2.79 
A3, $ 625.89 , $ 166.77 , $ 86.59 , $ 55.00 , $ 46.95 , $ 36.01 , $ 21.32 , $ 15.35 , $ 12.20 , $ 8.55 , $ 5.98 , $ 5.27 , $ 4.73 , $ 4.40 , $ 4.15 , $ 3.93 
A2, $ 897.41 , $ 236.20 , $ 124.33 , $ 80.63 , $ 69.49 , $ 52.64 , $ 32.18 , $ 24.02 , $ 19.23 , $ 13.85 , $ 10.22 , $ 9.24 , $ 8.40 , $ 7.84 , $ 7.41 , $ 7.02 
