,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 870.33 , $ 201.14 , $ 103.72 , $ 68.08 , $ 55.70 , $ 41.60 , $ 23.49 , $ 17.05 , $ 13.11 , $ 7.98 , $ 5.33 , $ 4.85 , $ 4.19 , $ 3.84 , $ 3.61 , $ 3.41 
A5, $ 486.11 , $ 120.21 , $ 63.91 , $ 41.88 , $ 35.69 , $ 25.88 , $ 15.58 , $ 11.74 , $ 9.12 , $ 6.23 , $ 4.58 , $ 4.21 , $ 3.79 , $ 3.53 , $ 3.33 , $ 3.15 
A6, $ 364.62 , $ 95.53 , $ 51.62 , $ 33.67 , $ 29.49 , $ 20.90 , $ 13.04 , $ 10.00 , $ 7.76 , $ 5.60 , $ 4.29 , $ 3.95 , $ 3.61 , $ 3.37 , $ 3.19 , $ 3.02 
A3, $ 699.20 , $ 184.81 , $ 95.74 , $ 60.98 , $ 51.92 , $ 39.69 , $ 23.36 , $ 16.82 , $ 13.32 , $ 9.26 , $ 6.44 , $ 5.67 , $ 5.08 , $ 4.72 , $ 4.45 , $ 4.21 
A2," $ 1,001.81 ", $ 262.27 , $ 137.63 , $ 89.52 , $ 76.99 , $ 58.25 , $ 35.38 , $ 26.41 , $ 21.10 , $ 15.10 , $ 11.05 , $ 9.99 , $ 9.06 , $ 8.45 , $ 7.98 , $ 7.56 
