,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 650.01 , $ 130.00 , $ 65.00 , $ 43.33 , $ 32.50 , $ 26.00 , $ 23.83 , $ 17.81 , $ 13.99 , $ 9.21 , $ 6.40 , $ 5.76 , $ 4.95 , $ 4.42 , $ 3.99 , $ 3.60 
A5, $ 334.27 , $ 66.85 , $ 33.43 , $ 22.28 , $ 16.71 , $ 13.37 , $ 15.94 , $ 12.25 , $ 9.65 , $ 6.88 , $ 5.14 , $ 4.68 , $ 4.18 , $ 3.82 , $ 3.52 , $ 3.25 
A6, $ 222.87 , $ 44.57 , $ 22.29 , $ 14.86 , $ 11.14 , $ 8.91 , $ 13.18 , $ 10.23 , $ 7.99 , $ 5.94 , $ 4.60 , $ 4.22 , $ 3.85 , $ 3.57 , $ 3.34 , $ 3.12 
A3, $ 482.87 , $ 96.57 , $ 48.29 , $ 32.19 , $ 24.14 , $ 19.31 , $ 26.55 , $ 20.01 , $ 16.32 , $ 12.22 , $ 8.76 , $ 7.61 , $ 6.65 , $ 5.90 , $ 5.24 , $ 4.61 
A2, $ 668.56 , $ 133.71 , $ 66.86 , $ 44.57 , $ 33.43 , $ 26.74 , $ 38.71 , $ 29.79 , $ 24.26 , $ 18.37 , $ 13.74 , $ 12.31 , $ 11.02 , $ 10.03 , $ 9.17 , $ 8.36 
