,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 278.58 , $ 55.72 , $ 27.86 , $ 18.57 , $ 13.93 , $ 11.14 , $ 13.28 , $ 10.32 , $ 8.30 , $ 5.98 , $ 4.43 , $ 3.99 , $ 3.48 , $ 3.09 , $ 2.75 , $ 2.42 
A5, $ 185.71 , $ 37.14 , $ 18.57 , $ 12.38 , $ 9.29 , $ 7.43 , $ 9.99 , $ 7.82 , $ 6.25 , $ 4.61 , $ 3.52 , $ 3.21 , $ 2.86 , $ 2.60 , $ 2.38 , $ 2.16 
A6, $ 111.44 , $ 22.29 , $ 11.14 , $ 7.43 , $ 5.57 , $ 4.46 , $ 7.99 , $ 6.32 , $ 4.99 , $ 3.85 , $ 3.07 , $ 2.83 , $ 2.59 , $ 2.40 , $ 2.23 , $ 2.07 
A3, $ 241.44 , $ 48.29 , $ 24.14 , $ 16.10 , $ 12.07 , $ 9.66 , $ 17.52 , $ 13.65 , $ 11.39 , $ 9.00 , $ 6.62 , $ 5.74 , $ 5.01 , $ 4.39 , $ 3.82 , $ 3.26 
A2, $ 334.28 , $ 66.86 , $ 33.43 , $ 22.29 , $ 16.71 , $ 13.37 , $ 25.05 , $ 19.80 , $ 16.43 , $ 13.04 , $ 10.00 , $ 8.94 , $ 8.01 , $ 7.24 , $ 6.54 , $ 5.86 
