,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 742.87 , $ 148.57 , $ 74.29 , $ 49.52 , $ 37.14 , $ 29.71 , $ 26.48 , $ 19.70 , $ 15.43 , $ 10.04 , $ 6.87 , $ 6.18 , $ 5.30 , $ 4.73 , $ 4.28 , $ 3.87 
A5, $ 371.41 , $ 74.28 , $ 37.14 , $ 24.76 , $ 18.57 , $ 14.86 , $ 17.45 , $ 13.38 , $ 10.53 , $ 7.48 , $ 5.53 , $ 5.01 , $ 4.47 , $ 4.10 , $ 3.78 , $ 3.50 
A6, $ 250.73 , $ 50.15 , $ 25.07 , $ 16.72 , $ 12.54 , $ 10.03 , $ 14.50 , $ 11.24 , $ 8.78 , $ 6.51 , $ 4.98 , $ 4.54 , $ 4.13 , $ 3.83 , $ 3.58 , $ 3.36 
A3, $ 543.23 , $ 108.65 , $ 54.32 , $ 36.22 , $ 27.16 , $ 21.73 , $ 28.60 , $ 21.49 , $ 17.45 , $ 12.93 , $ 9.22 , $ 8.01 , $ 7.00 , $ 6.22 , $ 5.54 , $ 4.89 
A2, $ 752.13 , $ 150.43 , $ 75.21 , $ 50.14 , $ 37.61 , $ 30.09 , $ 41.93 , $ 32.19 , $ 26.14 , $ 19.63 , $ 14.57 , $ 13.06 , $ 11.69 , $ 10.65 , $ 9.75 , $ 8.90 
