,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 46.43 , $ 9.29 , $ 4.64 , $ 3.10 , $ 2.32 , $ 1.86 , $ 4.84 , $ 3.97 , $ 3.25 , $ 2.65 , $ 2.16 , $ 2.00 , $ 1.84 , $ 1.70 , $ 1.57 , $ 1.45 
A5, $ 37.14 , $ 7.43 , $ 3.71 , $ 2.48 , $ 1.86 , $ 1.49 , $ 4.84 , $ 4.06 , $ 3.40 , $ 2.82 , $ 2.26 , $ 2.06 , $ 1.86 , $ 1.68 , $ 1.50 , $ 1.34 
A6, $ 27.86 , $ 5.57 , $ 2.79 , $ 1.86 , $ 1.39 , $ 1.11 , $ 4.17 , $ 3.46 , $ 2.82 , $ 2.35 , $ 1.93 , $ 1.78 , $ 1.64 , $ 1.51 , $ 1.39 , $ 1.28 
A3, $ 60.36 , $ 12.07 , $ 6.04 , $ 4.02 , $ 3.02 , $ 2.41 , $ 10.60 , $ 8.80 , $ 7.64 , $ 6.52 , $ 4.97 , $ 4.29 , $ 3.74 , $ 3.22 , $ 2.71 , $ 2.21 
A2, $ 83.57 , $ 16.71 , $ 8.36 , $ 5.57 , $ 4.18 , $ 3.34 , $ 14.70 , $ 12.29 , $ 10.55 , $ 9.03 , $ 7.14 , $ 6.37 , $ 5.72 , $ 5.11 , $ 4.53 , $ 3.96 
