,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 371.44 , $ 74.29 , $ 37.14 , $ 24.76 , $ 18.57 , $ 14.86 , $ 15.91 , $ 12.19 , $ 9.71 , $ 6.78 , $ 4.93 , $ 4.44 , $ 3.85 , $ 3.43 , $ 3.07 , $ 2.72 
A5, $ 222.85 , $ 44.57 , $ 22.28 , $ 14.86 , $ 11.14 , $ 8.91 , $ 11.46 , $ 8.91 , $ 7.09 , $ 5.16 , $ 3.92 , $ 3.58 , $ 3.20 , $ 2.91 , $ 2.67 , $ 2.44 
A6, $ 139.30 , $ 27.86 , $ 13.93 , $ 9.29 , $ 6.96 , $ 5.57 , $ 9.27 , $ 7.28 , $ 5.72 , $ 4.35 , $ 3.45 , $ 3.19 , $ 2.91 , $ 2.69 , $ 2.51 , $ 2.34 
A3, $ 301.80 , $ 60.36 , $ 30.18 , $ 20.12 , $ 15.09 , $ 12.07 , $ 19.84 , $ 15.27 , $ 12.65 , $ 9.83 , $ 7.17 , $ 6.22 , $ 5.44 , $ 4.78 , $ 4.19 , $ 3.61 
A2, $ 417.85 , $ 83.57 , $ 41.79 , $ 27.86 , $ 20.89 , $ 16.71 , $ 28.52 , $ 22.33 , $ 18.41 , $ 14.39 , $ 10.96 , $ 9.81 , $ 8.79 , $ 7.96 , $ 7.22 , $ 6.51 
