,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 835.73 , $ 167.15 , $ 83.57 , $ 55.72 , $ 41.79 , $ 33.43 , $ 29.13 , $ 21.59 , $ 16.88 , $ 10.87 , $ 7.34 , $ 6.60 , $ 5.65 , $ 5.05 , $ 4.58 , $ 4.14 
A5, $ 408.55 , $ 81.71 , $ 40.86 , $ 27.24 , $ 20.43 , $ 16.34 , $ 18.96 , $ 14.51 , $ 11.42 , $ 8.09 , $ 5.92 , $ 5.35 , $ 4.78 , $ 4.37 , $ 4.05 , $ 3.74 
A6, $ 278.59 , $ 55.72 , $ 27.86 , $ 18.57 , $ 13.93 , $ 11.14 , $ 15.83 , $ 12.35 , $ 9.77 , $ 7.33 , $ 5.72 , $ 5.25 , $ 4.86 , $ 4.60 , $ 4.38 , $ 4.19 
A3, $ 603.59 , $ 120.72 , $ 60.36 , $ 40.24 , $ 30.18 , $ 24.14 , $ 30.66 , $ 22.97 , $ 18.58 , $ 13.64 , $ 9.68 , $ 8.42 , $ 7.35 , $ 6.54 , $ 5.84 , $ 5.17 
A2, $ 835.71 , $ 167.14 , $ 83.57 , $ 55.71 , $ 41.79 , $ 33.43 , $ 45.15 , $ 34.60 , $ 28.02 , $ 20.90 , $ 15.41 , $ 13.81 , $ 12.36 , $ 11.27 , $ 10.34 , $ 9.46 
