,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 464.30 , $ 92.86 , $ 46.43 , $ 30.95 , $ 23.21 , $ 18.57 , $ 18.54 , $ 14.05 , $ 11.12 , $ 7.58 , $ 5.43 , $ 4.89 , $ 4.23 , $ 3.77 , $ 3.38 , $ 3.02 
A5, $ 259.99 , $ 52.00 , $ 26.00 , $ 17.33 , $ 13.00 , $ 10.40 , $ 12.95 , $ 10.01 , $ 7.92 , $ 5.72 , $ 4.33 , $ 3.96 , $ 3.54 , $ 3.23 , $ 2.96 , $ 2.72 
A6, $ 167.15 , $ 33.43 , $ 16.72 , $ 11.14 , $ 8.36 , $ 6.69 , $ 10.57 , $ 8.26 , $ 6.46 , $ 4.87 , $ 3.84 , $ 3.55 , $ 3.24 , $ 3.00 , $ 2.80 , $ 2.61 
A3, $ 362.15 , $ 72.43 , $ 36.22 , $ 24.14 , $ 18.11 , $ 14.49 , $ 22.17 , $ 16.90 , $ 13.92 , $ 10.67 , $ 7.73 , $ 6.72 , $ 5.87 , $ 5.18 , $ 4.57 , $ 3.97 
A2, $ 501.42 , $ 100.28 , $ 50.14 , $ 33.43 , $ 25.07 , $ 20.06 , $ 32.01 , $ 24.86 , $ 20.40 , $ 15.74 , $ 11.93 , $ 10.68 , $ 9.57 , $ 8.69 , $ 7.90 , $ 7.15 
