,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 92.86 , $ 18.57 , $ 9.29 , $ 6.19 , $ 4.64 , $ 3.71 , $ 8.03 , $ 6.60 , $ 5.48 , $ 4.40 , $ 3.44 , $ 3.10 , $ 2.73 , $ 2.42 , $ 2.12 , $ 1.83 
A5, $ 74.28 , $ 14.86 , $ 7.43 , $ 4.95 , $ 3.71 , $ 2.97 , $ 6.30 , $ 5.14 , $ 4.22 , $ 3.36 , $ 2.66 , $ 2.42 , $ 2.18 , $ 1.98 , $ 1.79 , $ 1.61 
A6, $ 55.72 , $ 11.14 , $ 5.57 , $ 3.71 , $ 2.79 , $ 2.23 , $ 5.43 , $ 4.40 , $ 3.54 , $ 2.84 , $ 2.30 , $ 2.12 , $ 1.95 , $ 1.80 , $ 1.67 , $ 1.54 
A3, $ 120.72 , $ 24.14 , $ 12.07 , $ 8.05 , $ 6.04 , $ 4.83 , $ 12.90 , $ 10.41 , $ 8.88 , $ 7.34 , $ 5.51 , $ 4.77 , $ 4.16 , $ 3.60 , $ 3.08 , $ 2.56 
A2, $ 167.14 , $ 33.43 , $ 16.71 , $ 11.14 , $ 8.36 , $ 6.69 , $ 18.14 , $ 14.78 , $ 12.50 , $ 10.36 , $ 8.09 , $ 7.22 , $ 6.48 , $ 5.81 , $ 5.19 , $ 4.59 
