,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 368.45 , $ 92.63 , $ 48.71 , $ 31.76 , $ 27.12 , $ 19.65 , $ 11.85 , $ 8.95 , $ 6.98 , $ 4.81 , $ 3.61 , $ 3.34 , $ 3.02 , $ 2.81 , $ 2.65 , $ 2.51 
A5, $ 266.62 , $ 69.33 , $ 37.54 , $ 24.54 , $ 21.44 , $ 15.29 , $ 9.62 , $ 7.42 , $ 5.81 , $ 4.21 , $ 3.27 , $ 3.04 , $ 2.78 , $ 2.60 , $ 2.46 , $ 2.34 
A6, $ 191.56 , $ 53.96 , $ 29.90 , $ 19.43 , $ 17.58 , $ 12.18 , $ 8.02 , $ 6.31 , $ 4.94 , $ 3.79 , $ 3.06 , $ 2.86 , $ 2.65 , $ 2.49 , $ 2.36 , $ 2.24 
A3, $ 352.17 , $ 103.19 , $ 54.15 , $ 34.11 , $ 30.09 , $ 22.96 , $ 14.24 , $ 10.47 , $ 8.45 , $ 6.38 , $ 4.69 , $ 4.16 , $ 3.81 , $ 3.57 , $ 3.38 , $ 3.20 
A2, $ 512.38 , $ 147.42 , $ 78.67 , $ 50.87 , $ 45.30 , $ 34.06 , $ 21.85 , $ 16.71 , $ 13.58 , $ 10.45 , $ 8.05 , $ 7.32 , $ 6.76 , $ 6.34 , $ 6.01 , $ 5.70 
