,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 684.61 , $ 163.99 , $ 85.15 , $ 55.70 , $ 46.41 , $ 34.17 , $ 19.77 , $ 14.57 , $ 11.26 , $ 7.24 , $ 5.08 , $ 4.67 , $ 4.12 , $ 3.80 , $ 3.58 , $ 3.39 
A5, $ 411.83 , $ 105.35 , $ 56.48 , $ 36.93 , $ 31.98 , $ 22.91 , $ 14.10 , $ 10.75 , $ 8.38 , $ 5.93 , $ 4.49 , $ 4.14 , $ 3.76 , $ 3.51 , $ 3.32 , $ 3.14 
A6, $ 308.90 , $ 84.38 , $ 46.04 , $ 29.95 , $ 26.70 , $ 18.67 , $ 11.92 , $ 9.26 , $ 7.21 , $ 5.38 , $ 4.22 , $ 3.89 , $ 3.58 , $ 3.36 , $ 3.18 , $ 3.02 
A3, $ 578.48 , $ 160.66 , $ 83.67 , $ 52.93 , $ 45.89 , $ 34.86 , $ 20.95 , $ 15.21 , $ 12.11 , $ 8.77 , $ 6.27 , $ 5.55 , $ 5.03 , $ 4.69 , $ 4.43 , $ 4.20 
A2, $ 834.67 , $ 228.84 , $ 120.91 , $ 78.38 , $ 68.63 , $ 51.56 , $ 32.04 , $ 24.18 , $ 19.42 , $ 14.43 , $ 10.83 , $ 9.82 , $ 8.99 , $ 8.41 , $ 7.96 , $ 7.55 
