,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 580.12 , $ 140.15 , $ 73.10 , $ 47.70 , $ 39.96 , $ 29.27 , $ 17.13 , $ 12.69 , $ 9.82 , $ 6.41 , $ 4.61 , $ 4.25 , $ 3.77 , $ 3.49 , $ 3.29 , $ 3.12 
A5, $ 364.31 , $ 93.29 , $ 50.25 , $ 32.77 , $ 28.44 , $ 20.31 , $ 12.60 , $ 9.63 , $ 7.50 , $ 5.33 , $ 4.10 , $ 3.81 , $ 3.46 , $ 3.24 , $ 3.06 , $ 2.90 
A6, $ 270.67 , $ 74.18 , $ 40.75 , $ 26.42 , $ 23.63 , $ 16.44 , $ 10.61 , $ 8.26 , $ 6.42 , $ 4.82 , $ 3.84 , $ 3.58 , $ 3.30 , $ 3.10 , $ 2.94 , $ 2.79 
A3, $ 505.17 , $ 142.62 , $ 74.52 , $ 46.95 , $ 40.92 , $ 31.18 , $ 18.90 , $ 13.74 , $ 10.99 , $ 8.07 , $ 5.82 , $ 5.15 , $ 4.68 , $ 4.37 , $ 4.14 , $ 3.92 
A2, $ 730.26 , $ 202.77 , $ 107.62 , $ 69.49 , $ 61.13 , $ 45.95 , $ 28.83 , $ 21.79 , $ 17.56 , $ 13.18 , $ 10.00 , $ 9.08 , $ 8.33 , $ 7.80 , $ 7.38 , $ 7.00 
