,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 474.25 , $ 116.38 , $ 60.90 , $ 39.72 , $ 33.53 , $ 24.46 , $ 14.49 , $ 10.81 , $ 8.40 , $ 5.61 , $ 4.11 , $ 3.79 , $ 3.39 , $ 3.15 , $ 2.97 , $ 2.81 
A5, $ 315.43 , $ 81.30 , $ 43.89 , $ 28.65 , $ 24.93 , $ 17.80 , $ 11.11 , $ 8.52 , $ 6.65 , $ 4.77 , $ 3.68 , $ 3.42 , $ 3.12 , $ 2.92 , $ 2.76 , $ 2.62 
A6, $ 231.09 , $ 64.06 , $ 35.32 , $ 22.92 , $ 20.60 , $ 14.30 , $ 9.31 , $ 7.28 , $ 5.68 , $ 4.30 , $ 3.45 , $ 3.22 , $ 2.97 , $ 2.79 , $ 2.65 , $ 2.51 
A3, $ 428.63 , $ 122.89 , $ 64.33 , $ 40.53 , $ 35.50 , $ 27.07 , $ 16.57 , $ 12.10 , $ 9.72 , $ 7.22 , $ 5.25 , $ 4.66 , $ 4.25 , $ 3.97 , $ 3.76 , $ 3.56 
A2, $ 621.25 , $ 175.07 , $ 93.12 , $ 60.17 , $ 53.20 , $ 40.00 , $ 25.33 , $ 19.25 , $ 15.56 , $ 11.81 , $ 9.02 , $ 8.20 , $ 7.54 , $ 7.07 , $ 6.69 , $ 6.35 
