,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 847.31 , $ 202.45 , $ 104.64 , $ 68.62 , $ 57.02 , $ 42.13 , $ 24.14 , $ 17.73 , $ 13.68 , $ 8.71 , $ 5.95 , $ 5.46 , $ 4.79 , $ 4.42 , $ 4.16 , $ 3.93 
A5, $ 507.01 , $ 129.55 , $ 68.97 , $ 45.27 , $ 39.08 , $ 28.15 , $ 17.12 , $ 13.02 , $ 10.15 , $ 7.14 , $ 5.27 , $ 4.82 , $ 4.36 , $ 4.07 , $ 3.84 , $ 3.64 
A6, $ 385.52 , $ 104.86 , $ 56.67 , $ 37.05 , $ 32.87 , $ 23.16 , $ 14.57 , $ 11.28 , $ 8.79 , $ 6.52 , $ 4.98 , $ 4.52 , $ 4.15 , $ 3.89 , $ 3.68 , $ 3.49 
A3, $ 725.26 , $ 196.81 , $ 102.01 , $ 64.91 , $ 55.86 , $ 42.26 , $ 25.05 , $ 18.17 , $ 14.38 , $ 10.20 , $ 7.20 , $ 6.36 , $ 5.73 , $ 5.33 , $ 5.03 , $ 4.77 
A2," $ 1,043.78 ", $ 281.12 , $ 147.59 , $ 96.22 , $ 83.69 , $ 62.83 , $ 38.48 , $ 28.98 , $ 23.18 , $ 16.96 , $ 12.50 , $ 11.33 , $ 10.33 , $ 9.65 , $ 9.13 , $ 8.65 
