,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 216.28 , $ 59.61 , $ 31.90 , $ 20.71 , $ 18.39 , $ 12.99 , $ 8.29 , $ 6.46 , $ 5.10 , $ 3.83 , $ 3.04 , $ 2.85 , $ 2.62 , $ 2.46 , $ 2.33 , $ 2.21 
A5, $ 180.73 , $ 49.96 , $ 27.49 , $ 17.96 , $ 16.10 , $ 11.32 , $ 7.40 , $ 5.83 , $ 4.61 , $ 3.51 , $ 2.82 , $ 2.63 , $ 2.43 , $ 2.29 , $ 2.17 , $ 2.05 
A6, $ 152.11 , $ 43.88 , $ 24.51 , $ 15.96 , $ 14.57 , $ 10.07 , $ 6.73 , $ 5.35 , $ 4.21 , $ 3.29 , $ 2.68 , $ 2.50 , $ 2.33 , $ 2.19 , $ 2.08 , $ 1.97 
A3, $ 275.79 , $ 83.53 , $ 44.01 , $ 27.72 , $ 24.70 , $ 18.87 , $ 11.92 , $ 8.84 , $ 7.19 , $ 5.55 , $ 4.14 , $ 3.68 , $ 3.39 , $ 3.18 , $ 3.01 , $ 2.85 
A2, $ 403.66 , $ 119.83 , $ 64.25 , $ 41.60 , $ 37.42 , $ 28.14 , $ 18.38 , $ 14.19 , $ 11.60 , $ 9.10 , $ 7.09 , $ 6.45 , $ 5.98 , $ 5.62 , $ 5.33 , $ 5.05 
