,1,5,10,15,20,25,50,75,100,250,750,1000,2500,5000,7500,10000
A4, $ 742.72 , $ 178.57 , $ 92.57 , $ 60.61 , $ 50.55 , $ 37.22 , $ 21.49 , $ 15.84 , $ 12.24 , $ 7.88 , $ 5.48 , $ 5.04 , $ 4.44 , $ 4.10 , $ 3.86 , $ 3.66 
A5, $ 459.39 , $ 117.44 , $ 62.72 , $ 41.09 , $ 35.52 , $ 25.53 , $ 15.60 , $ 11.88 , $ 9.26 , $ 6.54 , $ 4.88 , $ 4.48 , $ 4.06 , $ 3.79 , $ 3.58 , $ 3.39 
A6, $ 347.18 , $ 94.61 , $ 51.35 , $ 33.50 , $ 29.78 , $ 20.91 , $ 13.24 , $ 10.27 , $ 8.00 , $ 5.95 , $ 4.60 , $ 4.21 , $ 3.87 , $ 3.62 , $ 3.43 , $ 3.25 
A3, $ 651.84 , $ 178.72 , $ 92.83 , $ 58.92 , $ 50.87 , $ 38.56 , $ 23.00 , $ 16.68 , $ 13.24 , $ 9.49 , $ 6.74 , $ 5.95 , $ 5.38 , $ 5.01 , $ 4.73 , $ 4.48 
A2, $ 939.17 , $ 254.96 , $ 134.24 , $ 87.29 , $ 76.15 , $ 57.19 , $ 35.26 , $ 26.58 , $ 21.30 , $ 15.69 , $ 11.66 , $ 10.57 , $ 9.65 , $ 9.03 , $ 8.54 , $ 8.10 
